source_id,source_name,permanent_identifier,location,extracted_requirement,classification,implementation_component,verification
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section III.D","The paper evaluates a single operating point; it models the BESS as an ideal power source and omits converter-grid dynamic interactions and SoC reserve effects.",DIRECT_SOURCE,"Scope and limitations","Documentation audit"
SRC-001,Primary publication,https://doi.org/10.1109/IECON49645.2022.9968382,"Section IV","Planned/unplanned islanding and main-grid reconnection transitions are future work.",DIRECT_SOURCE,"Transition logic marked PROJECT_ASSUMPTION","Transition traceability and documentation audit"
SRC-002,Authorized author deposit,https://zenodo.org/records/7844360,"CC BY 4.0 record; file 2022147093.pdf","Provides the legally accessible full publication including Figures 1 and 2 architecture and Figures 3 to 6 result cases.",DIRECT_SOURCE,"Source review only; original diagrams are redrawn","Source-ledger audit"
SRC-002,Authorized author deposit,https://zenodo.org/records/7844360/files/2022147093.pdf,"Figure 1; PDF page 2","The framework selects four cases: grid-following without droop, grid-supporting with droop, stiff grid-forming with droop, and VSG.",DIRECT_SOURCE,"Implemented subset: grid-following grid-supporting and stiff grid-forming; VSG explicitly excluded","Mode-coverage and exclusion documentation audit"
SRC-002,Authorized author deposit,https://zenodo.org/records/7844360/files/2022147093.pdf,"Figure 2; PDF page 3","Shared DC/AC inverter, filter, PCC and microgrid; GFL PLL/PQ/current branch; stiff-GFM droop/voltage/current branch; VSG synchronizing, AVR/governor, electromechanical and current branch.",DIRECT_SOURCE,"Original project architecture redraw; implemented reduced-order GFL and stiff-GFM subset only","Architecture model-build and exclusion documentation audit"
SRC-003,Public BESS specification,https://rezwankhan.tech/models/bess-control/,"Modes; Interfaces; Scenarios; Evidence","The public translation identifies the required mode, interface, scenario, and evidence categories.",DIRECT_SOURCE,"Requirements grouping","Traceability completeness test"
SRC-004,Public research summary,https://rezwankhan.tech/research/bess-grid-control/,"Control problem; Grid-tied; Grid-forming; Framework; Validation","The controller should share a common architecture across following and forming roles and be evaluated under relevant scenarios.",DIRECT_SOURCE,"Unified architecture and documentation","Mode/scenario coverage"
SRC-005,Repository modeling standards,https://github.com/mohammadrezwankhan/matlab-simulink-energy-lab/blob/main/notes/modeling-standards.md,"Minimum example requirements","The example must state an engineering question, assumptions, units, expected output, and validation limits.",DIRECT_SOURCE,"README and validation documentation","Documentation audit"
SRC-006,Goal acceptance specification,local-user-provided-goal-2026-07-28,"Sections 6-21","Adds explicit transitions, faults, boundary cases, numeric fallback gates, release, and website publication requirements.",DIRECT_SOURCE,"Supervisor; tests; evidence; publication workflow","Completion-gate audit"
SRC-007,Crossref DOI metadata,https://api.crossref.org/works/10.1109%2FIECON49645.2022.9968382,"Work metadata","Independently confirms title, authorship, venue, publication year, and DOI.",DIRECT_SOURCE,"Citation metadata","Citation audit"
ASM-001,Reduced-order averaged plant,PROJECT_ASSUMPTION:ASM-001,"Assumption register","Use a deterministic averaged three-phase converter/PCC response because the paper states an ideal-power-source limitation and does not publish converter parameters.",PROJECT_ASSUMPTION,"Balanced dq-current/filter-equivalent plant kernel","Independent transform steady-state and limit tests"
ASM-002,Transition supervisor,PROJECT_ASSUMPTION:ASM-002,"Assumption register","Implement explicit islanding, synchronization, reconnection, recovery, and fault-safe states because the paper names transitions as future work.",PROJECT_ASSUMPTION,"Supervisor state machine","Scenarios C/E/G"
ASM-003,Numeric fallback gates,PROJECT_ASSUMPTION:ASM-003,"Assumption register","Use the goal's 2% P/Q, 2% voltage, 0.1% frequency, transition-envelope, current-limit, and synchronization gates where the paper is silent.",PROJECT_ASSUMPTION,"Scenario scorer and tests","All scenario metrics"
ASM-004,Starter parameters,PROJECT_ASSUMPTION:ASM-004,"Assumption register","Use centralized replaceable 10 MVA, 690 V, 50 Hz educational starter values and documented controller time constants.",PROJECT_ASSUMPTION,"Parameter function","Parameter validation and sensitivity tests"
